Activity,Season,Age,Athleticism,Interests,Preference,Travel,Frequency
Visit Senso-ji Temple in Asakusa,Spring,Both,Low,"culture, history, spiritual, sightseeing",Both,Family,First
Hike Mount Fuji,Summer,Both,High,"nature, scenery, adventure",Outdoor,Both,First
Relax in Hakone Onsen,Winter,Older,Low,"relaxation, wellness, scenery",Both,Family,Frequent
Tour Fushimi Inari Shrine in Kyoto,All,Both,Medium,"culture, spiritual, photography",Outdoor,Solo,First
Shop in Harajuku for fashion,Spring,Young,Low,"fashion, shopping, pop culture",Both,Friends,First
Visit Tokyo Disneyland,Summer,Both,Medium,"entertainment, family",Outdoor,Family,First
See cherry blossoms in Ueno Park,Spring,Both,Low,"nature, scenery, festivals",Outdoor,Family,First
Experience tea ceremony in Kyoto,All,Older,Low,"culture, culinary, relaxation",Indoor,Both,First
Cycle Shimanami Kaido,All,Both,High,"adventure, scenery, sports",Outdoor,Friends,Frequent
Tour Osaka Castle,Fall,Both,Medium,"history, sightseeing",Both,Family,First
Feed deer in Nara Park,Spring,Both,Low,"wildlife, family, nature",Outdoor,Family,First
Visit Ghibli Museum in Tokyo,All,Young,Low,"pop culture, anime, art",Indoor,Family,First
Hike in Japanese Alps,Summer,Both,High,"nature, adventure, hiking",Outdoor,Solo,Frequent
Explore teamLab Borderless in Tokyo,All,Both,Low,"art, entertainment, photography",Indoor,Both,First
Ski in Niseko,Winter,Both,High,"sports, adventure, scenery",Outdoor,Friends,Frequent
Visit Kyoto Imperial Palace,Fall,Older,Low,"history, culture",Both,Family,First
Shop at Nishiki Market in Kyoto,All,Both,Low,"food, culinary, shopping",Indoor,Friends,First
See autumn leaves in Arashiyama,Fall,Both,Medium,"nature, scenery, photography",Outdoor,Family,First
Experience onsen in Beppu,All,Older,Low,"relaxation, wellness",Both,Solo,Frequent
Tour Hiroshima Peace Memorial,Summer,Both,Low,"history, education",Both,Family,First
Visit Universal Studios Japan in Osaka,Summer,Young,Medium,"entertainment, adventure",Outdoor,Family,First
Hike Kumano Kodo trail,Fall,Both,High,"spiritual, nature, hiking",Outdoor,Solo,Frequent
Explore Naoshima Art Island,All,Both,Medium,"art, culture",Outdoor,Both,Frequent
See snow monkeys in Jigokudani,Winter,Both,Medium,"wildlife, nature",Outdoor,Family,First
Visit Meiji Shrine in Tokyo,All,Both,Low,"spiritual, history",Outdoor,Solo,First
Shop in Ginza,All,Young,Low,"shopping, fashion",Indoor,Friends,First
Tour Kanazawa Castle,Fall,Older,Medium,"history, culture",Both,Family,Frequent
Experience sumo match in Tokyo,All,Both,Low,"sports, culture",Indoor,Family,First
Visit Okinawa beaches,Summer,Young,High,"beaches, adventure, wildlife",Outdoor,Family,First
Hike Yakushima forests,All,Both,High,"nature, hiking",Outdoor,Solo,Frequent
Explore Nikko National Park,Fall,Both,Medium,"nature, scenery",Outdoor,Family,First
Visit Tokyo National Museum,All,Older,Low,"art, history",Indoor,Solo,First
Tour Ryoan-ji Temple in Kyoto,All,Both,Low,"spiritual, culture",Outdoor,Both,First
Shop at Tsukiji Outer Market,All,Both,Low,"food, culinary",Indoor,Friends,First
Hike Tateyama Kurobe Alpine Route,Summer,Both,High,"nature, adventure",Outdoor,Both,Frequent
Visit Kiyomizu-dera Temple,Spring,Both,Medium,"culture, sightseeing",Outdoor,Family,First
Experience kabuki theater in Tokyo,All,Older,Low,"art, culture",Indoor,Solo,Frequent
Tour Shirakawa-go village,Winter,Both,Medium,"culture, history",Outdoor,Family,First
See fireflies in Tatsuno,Summer,Both,Low,"nature, scenery",Outdoor,Family,Frequent
Visit Hakodate Morning Market,All,Both,Low,"food, culinary",Indoor,Friends,First
Hike Daisetsuzan National Park,Summer,Both,High,"nature, hiking",Outdoor,Solo,Frequent
Explore Dotonbori in Osaka,All,Young,Low,"night life, food",Both,Friends,First
Visit Himeji Castle,Spring,Older,Medium,"history, culture",Both,Family,First
Experience matsuri festival,Summer,Both,Low,"festivals, culture",Outdoor,Family,First
Tour Akiyoshido Cave,All,Both,Medium,"nature, adventure",Indoor,Solo,Frequent
Visit Kenrokuen Garden in Kanazawa,Fall,Both,Low,"nature, scenery",Outdoor,Family,First
Experience ryokan stay,All,Older,Low,"relaxation, culture",Both,Family,First
Hike Mount Takao near Tokyo,Spring,Both,High,"nature, hiking",Outdoor,Solo,First
Visit Tokyo Skytree,All,Both,Low,"sightseeing, scenery",Indoor,Family,First
Explore Okinawa Churaumi Aquarium,All,Both,Low,"wildlife, education",Indoor,Family,First
Tour Beppu Hells hot springs,All,Older,Medium,"nature, scenery",Outdoor,Both,Frequent
Visit Matsumoto Castle,Fall,Both,Medium,"history, culture",Both,Family,First
Experience izakaya hopping,All,Young,Low,"night life, culinary",Indoor,Friends,First
Hike Kamikochi,Summer,Both,High,"nature, scenery",Outdoor,Both,Frequent
Visit Kinkaku-ji Temple in Kyoto,All,Both,Low,"culture, spiritual",Outdoor,Family,First
Tour Tokyo Imperial Palace,All,Older,Low,"history, sightseeing",Both,Solo,First
Experience maid cafe in Akihabara,All,Young,Low,"pop culture, entertainment",Indoor,Friends,Frequent
Hike Yoshino Mountain for cherry blossoms,Spring,Both,Medium,"nature, scenery",Outdoor,Family,First
Visit Miyajima Island,All,Both,Medium,"nature, spiritual",Outdoor,Family,First
Tour Edo-Tokyo Museum,All,Older,Low,"history, education",Indoor,Solo,First
Experience karaoke in Tokyo,All,Young,Low,"entertainment, night life",Indoor,Friends,First
Hike Mount Aso,Summer,Both,High,"nature, adventure",Outdoor,Solo,Frequent
Visit Kyoto National Museum,All,Older,Low,"art, culture",Indoor,Both,Frequent
Tour Universal Studios Osaka,Summer,Young,Medium,"entertainment, adventure",Outdoor,Family,First
See autumn leaves in Nikko,Fall,Both,Medium,"nature, scenery",Outdoor,Family,First
Visit Tokyo DisneySea,Summer,Both,Medium,"entertainment, family",Outdoor,Family,First
Experience onsen in Kusatsu,Winter,Older,Low,"relaxation, wellness",Both,Solo,Frequent
Tour Nagoya Castle,Spring,Both,Medium,"history, culture",Both,Family,First
Hike Izu Peninsula trails,Summer,Both,High,"nature, hiking",Outdoor,Both,Frequent
Visit Hiroshima Castle,Fall,Older,Low,"history, sightseeing",Both,Solo,First
Experience sumo training session,All,Both,Low,"sports, culture",Indoor,Family,Frequent
Tour Tokyo Bay cruise,All,Both,Low,"sightseeing, scenery",Outdoor,Family,First
Hike Mount Koya trails,Fall,Both,Medium,"spiritual, nature",Outdoor,Solo,Frequent
Visit Kyoto Aquarium,All,Both,Low,"wildlife, education",Indoor,Family,First
Tour Sapporo Beer Museum,Winter,Young,Low,"culinary, history",Indoor,Friends,Frequent
Experience geisha performance in Kyoto,All,Older,Low,"culture, art",Indoor,Both,First
Hike Oze National Park,Summer,Both,High,"nature, hiking",Outdoor,Both,Frequent
Visit Tokyo Metropolitan Government Building observatory,All,Both,Low,"sightseeing, scenery",Indoor,Solo,First
Tour Ritsurin Garden in Takamatsu,Fall,Older,Low,"nature, relaxation",Outdoor,Family,Frequent
Experience ninja training in Tokyo,All,Young,Medium,"adventure, culture",Indoor,Friends,First
Hike Shiretoko National Park,Summer,Both,High,"nature, wildlife",Outdoor,Solo,Frequent
Visit Kyoto Railway Museum,All,Both,Low,"education, history",Indoor,Family,First
Tour Huis Ten Bosch in Nagasaki,Spring,Young,Medium,"entertainment, culture",Outdoor,Family,Frequent
See plum blossoms in Kairakuen Garden,Winter,Both,Low,"nature, scenery",Outdoor,Family,First
Visit Tokyo National Art Center,All,Older,Low,"art, culture",Indoor,Solo,Frequent
Hike Kirishima National Park,All,Both,High,"nature, adventure",Outdoor,Both,Frequent
Tour Okayama Castle,Fall,Both,Medium,"history, culture",Both,Family,First
Experience kabuki in Osaka,All,Older,Low,"art, culture",Indoor,Both,Frequent
Hike Akan National Park,Summer,Both,High,"nature, scenery",Outdoor,Solo,Frequent
Visit Kyoto Botanical Garden,Spring,Both,Low,"nature, relaxation",Outdoor,Family,First
